2023-01-27 19:16:58,070 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@973f159: startup date [Fri Jan 27 19:16:58 BRT 2023]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2023-01-27 19:16:58,827 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\autologon\Downloads\apache-activemq-5.16.5-bin\apache-activemq-5.16.5\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2023-01-27 19:16:58,996 | INFO  | PListStore:[C:\Users\autologon\Downloads\apache-activemq-5.16.5-bin\apache-activemq-5.16.5\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2023-01-27 19:16:59,132 | INFO  | Apache ActiveMQ 5.16.5 (localhost, ID:PB01-LAB02-25-50380-1674857819003-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2023-01-27 19:16:59,144 | INFO  | Listening for connections at: tcp://PB01-LAB02-25:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2023-01-27 19:16:59,145 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2023-01-27 19:16:59,147 | INFO  | Listening for connections at: amqp://PB01-LAB02-25:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2023-01-27 19:16:59,148 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2023-01-27 19:16:59,151 | INFO  | Listening for connections at: stomp://PB01-LAB02-25:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2023-01-27 19:16:59,151 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2023-01-27 19:16:59,153 | INFO  | Listening for connections at: mqtt://PB01-LAB02-25:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2023-01-27 19:16:59,154 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
